mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5055029392242432,0.03782643634194636,0.04485688209533691,0.0037829362745332713,True,,gini,10,0.5,1,6,714,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 714}",0.9285714285714286,0.9538461538461538,0.8923076923076922,1.0,0.9642857142857143,0.9478021978021978,0.03600641303959983,10
0.3195190906524658,0.010458573206627738,0.017601823806762694,0.003081313453924164,False,balanced_subsample,gini,10,0.3,4,6,199,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 199}",0.9285714285714285,0.9076923076923076,0.8769230769230769,0.9538461538461539,0.9285714285714286,0.919120879120879,0.02567386698494471,84
0.6505434036254882,0.01742302079316249,0.0319002628326416,0.0023014723672258684,False,balanced_subsample,entropy,,log2,4,7,485,"{'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 485}",0.9428571428571428,0.9076923076923076,0.9076923076923077,1.0,0.9285714285714286,0.9373626373626374,0.03403401553239449,28
0.8643124580383301,0.02032898165518889,0.05288858413696289,0.013250346605049793,False,,gini,20,log2,2,10,660,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 660}",0.9285714285714286,0.8615384615384616,0.9076923076923077,1.0,0.9107142857142857,0.9217032967032968,0.04497647951648612,79
2.851551866531372,0.5270426205404918,0.07556238174438476,0.013743668473627594,True,balanced_subsample,gini,5,0.5,4,4,975,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 975}",0.9714285714285714,0.9076923076923076,0.8769230769230769,0.9846153846153846,0.9285714285714286,0.9338461538461539,0.03985482652325068,35
2.27953200340271,0.5123060750187443,0.0684906005859375,0.015055979566778704,True,,gini,,0.3,3,6,940,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 940}",0.8857142857142857,0.9076923076923077,0.8923076923076922,1.0,0.9285714285714286,0.9228571428571428,0.04129529382525908,72
2.4672686100006103,0.3756432951064066,0.07672290802001953,0.011551296481251654,True,balanced,entropy,,0.5,2,3,876,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 876}",0.9428571428571428,0.9384615384615385,0.8923076923076922,0.9846153846153846,0.9464285714285715,0.9409340659340659,0.029368632999764333,19
0.9067883491516113,0.014332669811598892,0.03355140686035156,0.0010629278841524676,False,,entropy,20,0.5,3,8,527,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 527}",0.9714285714285714,0.9076923076923078,0.9692307692307693,0.9846153846153847,0.9642857142857142,0.9594505494505494,0.026738320991477802,2
2.4674381732940676,0.38197627255126626,0.0658493995666504,0.00730763836448116,True,balanced_subsample,gini,5,sqrt,4,3,971,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 971}",0.9428571428571428,0.8307692307692308,0.9230769230769231,0.9846153846153846,0.9285714285714286,0.921978021978022,0.05044422875760797,77
1.4159889698028565,0.21231099022798178,0.06443161964416504,0.006579682308053896,False,balanced,entropy,5,log2,2,5,921,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 921}",0.8999999999999999,0.8923076923076922,0.9076923076923077,1.0,0.8749999999999999,0.9149999999999998,0.04385964704661059,94
1.0479350090026855,0.11804804183101576,0.029949188232421875,0.0018939217817020631,True,balanced_subsample,entropy,5,0.5,2,5,369,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 369}",0.9428571428571428,0.9230769230769231,0.8615384615384616,0.9846153846153846,0.9464285714285715,0.9317032967032967,0.04034463895643454,39
2.109439992904663,0.21896980695030613,0.060587596893310544,0.013684990607033973,True,balanced_subsample,entropy,5,0.3,4,10,801,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 801}",0.9714285714285714,0.9076923076923076,0.8769230769230769,0.9846153846153846,0.9285714285714286,0.9338461538461539,0.03985482652325068,35
